Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Padre Miguel;1;0;0;55;450.0;;
Vila Isabel;1;0;0;20;920.0;80.0;
Catete;1;0;0;45;1100.0;327.0;54.0
Vila da Penha;1;0;0;40;850.0;;
Gardênia Azul;1;0;0;27;650.0;;
Campo Grande;1;0;0;40;500.0;;
Botafogo;1;0;0;25;1000.0;582.0;24.0
Lins de Vasconcelos;1;0;0;35;500.0;360.0;15.0
Catete;1;0;0;30;1100.0;390.0;24.0
Centro;1;0;0;31;1000.0;400.0;20.0
Taquara;1;0;0;30;700.0;;
Flamengo;1;0;0;29;950.0;400.0;
Estácio;1;1;1;32;1000.0;409.0;14.0
Flamengo;1;0;0;29;900.0;555.0;25.0
Botafogo;1;0;0;18;900.0;463.0;
Engenho de Dentro;1;0;0;32;800.0;;
São Cristóvão;1;0;0;45;1000.0;;15.0
Vila Isabel;1;0;0;32;1000.0;125.0;12.0
Pechincha;1;1;1;40;850.0;442.0;15.0
Ramos;1;1;0;47;750.0;470.0;
Cosmos;1;1;0;36;500.0;;
Botafogo;1;0;0;25;1100.0;550.0;250.0
Gardênia Azul;1;0;0;25;490.0;;
Irajá;1;0;0;20;500.0;;
Santa Teresa;1;0;0;30;1000.0;200.0;
Campo Grande;1;1;0;61;830.0;;
Centro;1;0;0;40;1000.0;300.0;20.0
Olaria;1;0;0;40;800.0;;
Inhoaíba;1;0;0;50;600.0;;
Vaz Lobo;1;1;0;39;600.0;175.0;
Flamengo;1;0;0;22;1000.0;378.0;
Pechincha;1;1;0;45;780.0;370.0;30.0
Sampaio;1;0;0;36;650.0;293.0;14.0
Pechincha;1;1;0;68;1150.0;554.0;13.0
Cachambi;1;1;0;36;600.0;407.0;
Praça da Bandeira;1;0;0;40;900.0;435.0;
Flamengo;1;0;0;45;1100.0;514.0;67.0
Barra da Tijuca;1;1;0;30;900.0;915.0;270.0
Cachambi;1;0;0;30;600.0;100.0;13.0
Vargem Grande;1;3;0;43;800.0;220.0;
Campo Grande;1;0;0;40;480.0;;
Grajaú;1;1;0;56;1100.0;580.0;420.0
Grajaú;1;0;1;37;1000.0;200.0;
Rocha Miranda;1;0;0;44;700.0;;
Pechincha;1;0;1;69;900.0;640.0;126.0
Glória;1;0;0;46;1100.0;453.0;32.0
Guadalupe;1;0;0;40;550.0;;
Engenho Novo;1;0;0;40;450.0;;
Bonsucesso;1;0;0;60;1000.0;;
Botafogo;1;0;0;21;1000.0;282.0;25.0
Glória;1;0;0;10;400.0;107.0;10.0
Flamengo;1;0;0;23;900.0;605.0;
Centro;1;0;0;24;1100.0;323.0;
Campo Grande;1;0;0;50;600.0;;
Tijuca;1;0;0;28;1000.0;360.0;25.0
