Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Cascadura;1;0;0;40;680.0;240.0;
Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Flamengo;1;0;0;39;1100.0;580.0;20.0
Centro;1;0;0;35;950.0;340.0;24.0
Curicica;1;1;0;36;1000.0;;
Centro;1;0;0;33;800.0;570.0;
Centro;1;0;0;35;700.0;312.0;28.0
Tijuca;1;1;0;47;1100.0;600.0;
Madureira;1;0;0;55;700.0;200.0;
Catete;1;0;0;20;1190.0;450.0;22.0
Copacabana;1;0;0;55;1100.0;560.0;57.0
Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Botafogo;1;0;0;20;980.0;500.0;29.0
Centro;1;0;0;36;900.0;325.0;
Glória;1;0;0;50;950.0;570.0;67.0
Praça Seca;1;1;0;45;650.0;370.0;140.0
Higienópolis;1;0;1;37;900.0;308.0;
Centro;1;0;0;34;1000.0;450.0;21.0
Tijuca;1;0;0;35;800.0;420.0;
Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0
Centro;1;0;0;45;1100.0;400.0;
Laranjeiras;1;0;0;24;1000.0;456.0;29.0
Centro;1;0;0;30;800.0;390.0;
Cidade Nova;1;0;0;37;800.0;214.0;14.0
Estácio;1;0;0;21;550.0;200.0;
Lapa;1;0;0;32;1100.0;380.0;
Centro;1;0;0;31;1000.0;465.0;106.0
Caju;1;0;1;45;850.0;230.0;
Copacabana;1;0;0;10;800.0;;60.0
Glória;1;0;1;40;1150.0;520.0;
Centro;1;0;0;27;850.0;143.0;24.0
Encantado;1;0;0;30;850.0;;
Copacabana;1;0;0;26;900.0;470.0;24.0
Centro;1;0;0;33;800.0;380.0;25.0
Praça Seca;1;1;0;48;450.0;275.0;
Vila da Penha;1;0;0;60;1100.0;80.0;
Vila da Penha;1;1;0;45;900.0;;22.0
Centro;1;0;0;42;1090.0;345.0;24.0
Marechal Hermes;1;0;0;88;750.0;76.0;
Realengo;1;1;0;40;600.0;;
Gardênia Azul;1;0;0;25;500.0;;
Glória;1;0;0;20;900.0;495.0;
Copacabana;1;0;0;22;1000.0;510.0;29.0
Campo Grande;1;0;0;40;450.0;;
